field_id,region,crop_type,growth_stage,avg_temp_c,avg_humidity_pct,soil_moisture_pct,soil_ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,ndvi_index,pest_pressure_score,intervention_required
PLOT_120,Zone_C_South,Cotton,Vegetative,22.56,56.32,44.68,6.36,104.85,22.3,153.63,0.483,31.1,0
PLOT_206,Zone_C_South,Wheat,Vegetative,25.63,66.99,,5.81,120.4,35.31,228.98,0.294,70.0,1
PLOT_245,Zone_C_South,Wheat,Vegetative,34.21,64.32,40.72,7.24,90.99,33.99,145.68,0.408,48.2,0
PLOT_198,Zone_B_West,Soybean,Fruiting,33.62,78.13,32.12,6.5,138.06,47.61,206.13,0.538,72.4,0
PLOT_218,Zone_D_East,Sugarcane,Vegetative,28.7,73.63,30.94,6.27,135.37,29.82,111.21,0.447,66.6,1
PLOT_172,Zone_B_West,Cotton,Vegetative,24.73,60.61,47.31,6.39,79.73,40.35,148.33,0.396,36.4,0
PLOT_221,Zone_C_South,Cotton,Vegetative,27.46,76.43,54.83,6.27,193.07,48.73,206.4,0.513,60.1,0
PLOT_129,Zone_D_East,Tomato,Fruiting,27.92,63.32,20.66,6.17,128.17,85.01,153.26,0.377,68.8,1
PLOT_207,Zone_B_West,Tomato,Vegetative,25.55,56.83,77.62,,101.46,19.63,214.95,0.529,37.1,0
PLOT_197,Zone_B_West,Cotton,Fruiting,34.4,50.16,51.84,8.4,100.72,56.75,206.21,,60.8,0
PLOT_131,Zone_D_East,Soybean,Vegetative,26.34,82.54,44.01,6.36,163.14,57.25,139.28,0.482,75.7,1
PLOT_178,Zone_A_North,Soybean,Fruiting,27.14,80.3,43.69,7.0,70.53,47.42,169.51,0.428,55.4,0
PLOT_140,Zone_C_South,Cotton,Maturation,27.28,62.57,19.14,6.57,127.65,30.74,149.34,0.297,59.3,1
PLOT_162,Zone_A_North,Wheat,Flowering,32.13,64.0,35.07,5.85,162.85,64.52,195.14,0.576,45.1,0
PLOT_122,Zone_C_South,Wheat,Fruiting,29.82,62.19,29.03,7.24,69.17,45.16,163.12,,64.3,0
PLOT_203,Zone_C_South,Soybean,Fruiting,29.63,42.14,34.53,7.16,96.49,50.47,230.09,0.547,58.9,0
PLOT_174,Zone_A_North,Soybean,Fruiting,23.6,63.68,54.2,6.54,119.66,31.26,192.3,0.534,61.7,0
PLOT_147,Zone_A_North,Sugarcane,Fruiting,29.72,39.31,32.95,7.33,128.01,46.88,180.75,0.397,46.2,0
PLOT_156,Zone_C_South,Wheat,Vegetative,32.38,50.83,50.74,6.63,142.81,59.18,186.71,0.485,36.3,0
PLOT_217,Zone_D_East,Sugarcane,Flowering,26.71,64.84,54.01,6.87,102.37,52.88,179.92,0.392,42.8,0
PLOT_199,Zone_D_East,Soybean,Maturation,29.26,74.75,48.33,7.48,119.23,39.87,138.86,0.377,75.1,0
PLOT_223,Zone_A_North,Tomato,Vegetative,33.29,44.92,74.82,6.5,187.62,57.36,222.35,0.733,19.8,0
PLOT_133,Zone_A_North,Wheat,Maturation,24.33,63.06,49.37,8.04,134.76,51.25,180.49,0.423,58.4,0
PLOT_106,Zone_B_West,Sugarcane,Flowering,24.41,64.13,66.75,6.19,69.73,34.06,205.72,0.486,48.6,0
PLOT_155,Zone_D_East,Wheat,Flowering,27.87,63.04,73.06,7.43,101.09,23.75,133.19,0.531,55.1,0
PLOT_164,Zone_D_East,Soybean,Fruiting,32.56,68.95,43.0,6.89,55.15,66.57,197.32,0.399,65.6,0
PLOT_146,Zone_C_South,Sugarcane,Fruiting,12.99,74.25,90.01,,128.47,53.73,113.17,0.536,37.6,0
PLOT_247,Zone_B_West,Wheat,Flowering,27.48,65.53,64.49,7.46,93.67,77.53,163.87,0.503,40.7,0
PLOT_118,Zone_C_South,Soybean,Vegetative,24.84,83.47,29.61,7.3,80.33,73.24,207.72,0.349,74.4,1
PLOT_245,Zone_B_West,Wheat,Fruiting,30.36,62.38,63.84,5.93,79.57,42.08,235.56,0.405,33.6,0
PLOT_225,Zone_D_East,Soybean,Maturation,27.99,52.8,35.21,6.37,172.97,49.5,59.84,0.452,50.4,0
PLOT_238,Zone_C_South,Cotton,Flowering,34.44,86.74,52.85,6.52,133.38,44.05,229.51,0.621,65.0,1
PLOT_148,Zone_B_West,Sugarcane,Vegetative,31.88,94.34,61.79,6.71,85.94,26.48,199.44,0.33,59.3,0
PLOT_212,Zone_C_South,Tomato,Vegetative,27.32,72.19,58.01,7.36,106.77,69.72,183.93,0.513,58.2,0
PLOT_137,Zone_B_West,Cotton,Maturation,23.2,37.63,,5.61,133.31,52.87,138.29,0.505,53.1,0
PLOT_163,Zone_A_North,Sugarcane,Vegetative,30.32,68.18,32.41,7.25,105.16,59.09,169.15,0.48,47.1,0
PLOT_168,Zone_C_South,Cotton,Flowering,26.94,56.67,,7.05,133.53,27.31,167.84,0.53,42.3,0
PLOT_235,Zone_A_North,Wheat,Vegetative,27.44,82.84,68.68,7.6,118.02,44.58,145.91,0.415,64.2,0
PLOT_215,Zone_B_West,Sugarcane,Vegetative,22.46,64.86,58.63,5.86,138.45,20.56,179.31,0.659,40.0,0
PLOT_164,Zone_C_South,Soybean,Vegetative,29.29,56.85,63.65,6.85,123.98,43.2,126.39,0.399,50.7,0
PLOT_130,Zone_B_West,Tomato,Vegetative,25.86,69.07,18.73,7.03,107.38,40.39,175.31,0.313,55.6,1
PLOT_231,Zone_B_West,Tomato,Fruiting,26.38,80.47,56.49,5.52,129.36,30.97,218.25,0.47,61.6,0
PLOT_212,Zone_A_North,Sugarcane,Vegetative,9.69,55.22,35.18,6.41,96.76,37.27,167.4,,41.9,0
PLOT_208,Zone_C_South,Soybean,Vegetative,28.67,74.3,28.29,,110.46,65.55,183.81,0.341,68.2,1
PLOT_168,Zone_D_East,Soybean,Flowering,23.55,42.33,25.05,,123.86,55.75,210.65,0.412,32.5,0
PLOT_219,Zone_B_West,Cotton,Maturation,31.18,63.96,46.14,7.64,111.6,45.88,196.2,0.404,57.5,0
PLOT_187,Zone_A_North,Wheat,Fruiting,28.87,48.46,41.35,7.56,147.98,30.13,155.32,0.466,19.3,0
PLOT_166,Zone_D_East,Cotton,Vegetative,20.86,54.81,52.84,6.66,154.23,51.08,214.29,0.426,36.8,0
PLOT_174,Zone_A_North,Soybean,Vegetative,27.96,79.3,46.72,8.0,81.0,20.75,195.47,0.4,67.8,1
PLOT_144,Zone_A_North,Sugarcane,Flowering,29.62,60.79,55.1,6.61,135.0,24.58,285.34,0.589,31.1,0
PLOT_103,Zone_A_North,Soybean,Maturation,39.35,56.26,42.72,,138.48,67.4,181.34,0.507,59.5,0
PLOT_206,Zone_B_West,Wheat,Vegetative,31.62,79.06,33.04,7.29,177.94,68.71,171.46,0.413,50.8,0
PLOT_150,Zone_D_East,Tomato,Vegetative,21.79,71.94,59.68,7.14,185.55,12.3,178.14,0.577,46.3,0
PLOT_149,Zone_B_West,Cotton,Fruiting,38.6,42.51,53.45,6.69,125.42,48.74,202.24,0.318,41.5,0
PLOT_105,Zone_B_West,Sugarcane,Flowering,27.07,64.16,44.93,6.62,121.24,75.55,185.06,0.488,71.9,1
PLOT_158,Zone_C_South,Wheat,Flowering,27.05,65.75,45.29,6.74,119.04,37.83,165.65,0.492,57.5,0
PLOT_224,Zone_D_East,Wheat,Vegetative,38.6,74.37,38.7,7.21,104.39,49.15,165.37,0.467,71.5,0
PLOT_242,Zone_C_South,Soybean,Vegetative,25.23,61.6,54.52,7.22,134.5,35.85,225.33,0.359,36.1,0
PLOT_129,Zone_A_North,Tomato,Vegetative,27.68,88.31,54.48,7.33,80.81,53.53,168.25,0.318,67.6,1
PLOT_221,Zone_D_East,Cotton,Vegetative,20.02,68.45,30.05,6.6,140.42,29.6,192.29,0.353,37.1,0
PLOT_224,Zone_D_East,Wheat,Maturation,28.3,46.03,69.35,6.66,123.94,50.16,284.84,0.526,31.4,0
PLOT_136,Zone_B_West,Cotton,Vegetative,27.71,,42.23,6.8,155.55,75.35,167.82,0.407,49.5,0
PLOT_223,Zone_A_North,Wheat,Flowering,26.43,78.04,38.95,6.13,100.48,47.77,194.84,0.483,69.3,1
PLOT_200,Zone_B_West,Wheat,Flowering,29.32,61.45,63.09,5.94,106.38,38.59,156.53,0.59,56.3,0
PLOT_134,Zone_C_South,Soybean,Vegetative,24.24,66.31,55.09,7.75,170.65,27.09,215.89,0.446,44.9,0
PLOT_186,Zone_A_North,Tomato,Maturation,36.12,64.58,53.22,6.79,44.51,47.87,127.33,0.464,37.2,0
PLOT_233,Zone_B_West,Wheat,Fruiting,28.6,,54.52,6.1,173.05,31.07,112.07,0.643,29.8,0
PLOT_117,Zone_B_West,Sugarcane,Maturation,24.5,60.11,62.85,6.32,68.02,26.11,186.67,0.291,59.1,0
PLOT_212,Zone_B_West,Cotton,Vegetative,21.26,59.54,28.8,6.37,160.95,24.93,154.91,0.453,39.1,0
PLOT_128,Zone_A_North,Wheat,Vegetative,28.75,84.81,,7.21,113.36,20.37,145.43,0.458,67.5,0
PLOT_176,Zone_C_South,Wheat,Vegetative,33.28,80.92,68.39,7.89,109.5,41.0,192.7,0.409,40.7,0
PLOT_158,Zone_D_East,Sugarcane,Vegetative,30.35,,34.36,6.47,162.42,68.25,118.74,0.423,33.8,0
PLOT_225,Zone_B_West,Wheat,Flowering,38.82,47.14,28.74,5.26,139.39,60.83,262.64,0.32,57.3,0
PLOT_244,Zone_A_North,Cotton,Maturation,38.94,73.59,51.03,7.06,183.76,57.24,176.13,0.696,81.7,0
PLOT_208,Zone_D_East,Wheat,Vegetative,21.85,65.12,38.62,5.62,214.06,33.73,167.42,0.643,43.8,0
PLOT_121,Zone_B_West,Cotton,Maturation,20.75,67.05,54.24,6.46,90.91,47.01,155.2,0.543,44.0,0
PLOT_167,Zone_A_North,Wheat,Flowering,24.5,51.05,42.62,8.02,131.96,40.33,203.31,0.454,11.7,0
PLOT_168,Zone_C_South,Tomato,Flowering,32.17,64.22,38.5,5.68,119.42,74.99,112.61,0.45,44.3,0
PLOT_148,Zone_B_West,Soybean,Vegetative,30.53,56.75,,6.27,120.42,28.92,184.97,0.268,57.6,1
PLOT_240,Zone_A_North,Tomato,Vegetative,33.76,51.36,52.56,5.91,97.29,20.36,217.28,0.582,51.9,0
PLOT_208,Zone_B_West,Cotton,Maturation,23.11,60.82,41.61,5.68,55.65,24.44,224.32,0.456,54.7,0
PLOT_185,Zone_A_North,Cotton,Vegetative,19.28,62.81,47.57,6.33,114.74,51.64,238.16,0.484,50.6,0
PLOT_152,Zone_C_South,Cotton,Fruiting,25.42,50.24,33.0,6.59,134.51,33.88,190.6,0.612,51.9,0
PLOT_222,Zone_C_South,Wheat,Flowering,31.55,60.38,51.58,7.72,100.64,35.85,166.81,0.512,60.6,0
PLOT_186,Zone_A_North,Soybean,Maturation,29.34,56.59,44.8,6.39,160.65,18.74,191.19,0.442,38.7,0
PLOT_230,Zone_D_East,Cotton,Fruiting,34.98,62.64,43.78,7.2,158.26,33.3,190.69,0.506,34.6,0
PLOT_141,Zone_C_South,Cotton,Vegetative,24.8,60.01,52.43,8.17,113.6,56.19,221.97,0.511,36.8,0
PLOT_197,Zone_B_West,Sugarcane,Flowering,33.68,85.01,13.91,8.38,103.43,16.32,275.08,0.593,89.2,1
PLOT_208,Zone_C_South,Cotton,Vegetative,25.34,67.76,29.21,6.32,170.0,37.19,250.53,0.532,45.0,0
PLOT_150,Zone_B_West,Tomato,Flowering,32.55,59.15,42.2,8.06,132.72,44.94,148.28,0.376,32.8,0
PLOT_184,Zone_C_South,Cotton,Vegetative,32.46,,47.02,7.25,92.53,54.68,153.42,0.452,79.1,1
PLOT_226,Zone_C_South,Sugarcane,Flowering,36.69,39.83,50.27,7.8,121.24,36.61,263.54,0.446,48.5,0
PLOT_120,Zone_B_West,Cotton,Vegetative,21.54,71.74,35.12,5.93,150.13,40.11,147.65,0.606,61.2,0
PLOT_143,Zone_C_South,Tomato,Maturation,35.69,67.44,49.65,6.51,155.26,61.82,193.18,0.592,55.8,0
PLOT_238,Zone_B_West,Cotton,Flowering,30.82,68.53,38.97,7.13,126.02,39.74,266.08,,50.6,0
PLOT_202,Zone_B_West,Sugarcane,Maturation,28.81,58.73,33.56,5.61,121.9,61.49,207.99,0.35,58.1,0
PLOT_167,Zone_C_South,Wheat,Vegetative,27.81,75.04,53.63,6.26,139.98,88.28,146.42,0.438,68.5,0
PLOT_228,Zone_C_South,Soybean,Flowering,28.12,69.16,56.33,5.81,104.7,48.72,203.27,0.402,40.1,0
PLOT_191,Zone_B_West,Cotton,Vegetative,28.71,75.38,55.03,6.49,186.28,28.15,161.96,0.405,33.5,0
PLOT_123,Zone_A_North,Cotton,Flowering,20.13,54.49,47.75,,104.02,53.27,86.8,0.486,29.0,0
PLOT_224,Zone_C_South,Tomato,Maturation,29.77,78.34,50.21,9.03,116.88,62.0,185.4,0.532,62.9,0
PLOT_240,Zone_D_East,Tomato,Maturation,29.29,58.64,50.17,7.01,110.31,33.93,239.2,0.49,45.7,0
PLOT_210,Zone_C_South,Cotton,Vegetative,25.08,47.33,58.83,5.64,148.3,54.8,269.36,0.585,34.2,0
PLOT_197,Zone_A_North,Soybean,Maturation,28.67,86.96,67.37,6.93,204.35,14.81,164.22,0.595,64.5,0
PLOT_238,Zone_A_North,Wheat,Fruiting,34.24,74.95,61.01,4.77,161.94,59.59,211.9,0.463,53.9,0
PLOT_116,Zone_C_South,Soybean,Maturation,25.3,88.04,23.88,7.42,107.63,32.51,156.78,0.347,64.1,1
PLOT_198,Zone_C_South,Sugarcane,Flowering,22.58,64.76,37.71,7.48,133.83,17.55,168.79,0.62,45.9,0
PLOT_181,Zone_D_East,Cotton,Maturation,24.74,76.87,70.71,5.65,138.03,36.91,163.08,0.635,52.9,0
PLOT_203,Zone_C_South,Tomato,Maturation,17.65,79.89,21.14,7.15,119.01,63.8,181.54,0.344,74.5,1
PLOT_118,Zone_A_North,Soybean,Vegetative,37.81,60.84,38.53,6.58,97.24,44.1,132.74,0.264,38.9,0
PLOT_184,Zone_D_East,Cotton,Vegetative,24.18,45.73,73.39,,167.23,41.78,172.42,0.744,24.3,0
PLOT_107,Zone_C_South,Soybean,Vegetative,35.07,69.97,27.48,7.97,155.62,58.08,205.6,0.438,76.3,0
PLOT_127,Zone_D_East,Wheat,Flowering,22.05,68.41,33.24,6.41,173.48,51.14,169.82,0.589,55.4,0
PLOT_104,Zone_D_East,Soybean,Fruiting,25.28,68.93,43.5,7.05,173.79,36.23,163.85,0.512,53.8,0
PLOT_244,Zone_A_North,Sugarcane,Fruiting,28.83,65.01,24.85,6.52,190.23,44.38,195.16,0.459,67.1,1
PLOT_200,Zone_A_North,Wheat,Fruiting,31.85,58.81,57.74,7.9,138.65,74.3,185.64,0.524,44.0,0
PLOT_217,Zone_B_West,Sugarcane,Flowering,28.14,57.69,52.97,6.59,130.65,45.47,192.47,0.517,77.1,1
PLOT_246,Zone_A_North,Sugarcane,Vegetative,20.49,73.28,62.2,6.27,130.82,47.45,128.15,0.57,50.0,0
PLOT_163,Zone_B_West,Sugarcane,Vegetative,28.21,27.81,21.07,6.79,117.97,77.2,193.15,0.362,26.1,0
PLOT_190,Zone_A_North,Cotton,Fruiting,35.05,44.54,52.86,5.76,170.12,22.04,188.0,0.556,55.8,0
PLOT_216,Zone_A_North,Cotton,Vegetative,30.19,42.8,44.62,8.34,92.49,55.58,180.48,0.491,54.9,0
PLOT_197,Zone_B_West,Soybean,Vegetative,40.02,40.82,21.36,7.99,147.55,49.64,181.22,0.403,35.7,0
PLOT_110,Zone_B_West,Cotton,Flowering,29.39,63.29,74.63,6.63,94.43,41.55,169.31,0.625,34.3,0
PLOT_153,Zone_B_West,Cotton,Vegetative,33.77,71.72,30.15,6.18,73.81,60.1,140.31,0.327,49.5,0
PLOT_146,Zone_D_East,Sugarcane,Vegetative,31.23,71.3,51.63,6.41,76.24,28.41,130.92,0.535,70.7,1
PLOT_239,Zone_B_West,Wheat,Vegetative,25.21,50.38,39.8,5.89,153.38,40.73,186.51,0.541,50.4,0
PLOT_248,Zone_D_East,Sugarcane,Maturation,28.18,44.45,,6.32,69.55,25.69,163.34,0.361,40.4,0
PLOT_238,Zone_D_East,Sugarcane,Vegetative,34.29,66.98,36.91,6.35,98.45,38.47,162.73,0.355,75.1,0
PLOT_104,Zone_B_West,Sugarcane,Maturation,26.7,71.15,58.12,5.84,102.42,33.62,203.97,0.412,60.5,0
PLOT_119,Zone_B_West,Cotton,Vegetative,30.58,71.95,68.25,7.69,69.67,58.42,153.65,,42.3,0
PLOT_145,Zone_B_West,Cotton,Maturation,25.27,47.97,46.88,6.71,81.64,49.59,181.33,0.364,58.4,0
PLOT_111,Zone_A_North,Cotton,Flowering,33.33,74.93,20.55,7.2,127.79,29.8,143.09,0.499,83.3,1
PLOT_169,Zone_A_North,Soybean,Fruiting,28.93,67.17,26.7,6.55,125.38,46.46,150.83,0.382,54.4,0
PLOT_116,Zone_B_West,Wheat,Maturation,33.0,53.05,71.9,5.92,134.78,-10.24,180.03,0.467,36.7,0
PLOT_214,Zone_C_South,Tomato,Flowering,34.98,57.48,53.67,6.39,165.59,51.34,197.84,0.576,69.8,0
PLOT_246,Zone_B_West,Sugarcane,Maturation,31.99,54.31,42.07,6.3,74.39,14.14,162.78,0.219,32.3,0
PLOT_147,Zone_C_South,Tomato,Flowering,27.56,55.25,61.41,7.57,191.54,55.06,166.72,0.466,59.4,0
PLOT_207,Zone_A_North,Cotton,Fruiting,27.66,78.16,40.47,7.85,99.79,38.67,201.2,0.32,59.4,0
PLOT_151,Zone_A_North,Cotton,Flowering,17.55,71.25,58.45,5.78,117.93,75.32,173.63,0.532,33.7,0
PLOT_195,Zone_C_South,Tomato,Maturation,30.73,51.7,16.46,6.69,105.76,18.75,155.0,0.39,67.7,1
PLOT_169,Zone_A_North,Wheat,Fruiting,33.96,59.58,38.74,6.77,108.63,54.43,127.06,0.441,47.9,0
PLOT_201,Zone_B_West,Wheat,Vegetative,22.06,72.21,,6.36,65.19,71.06,146.71,,42.1,0
PLOT_174,Zone_C_South,Cotton,Flowering,27.69,40.69,23.73,6.49,112.03,37.7,206.3,0.505,47.5,0
PLOT_242,Zone_C_South,Tomato,Maturation,27.58,72.19,34.6,6.81,129.45,46.86,148.05,0.467,62.6,0
PLOT_181,Zone_D_East,Sugarcane,Fruiting,30.91,88.74,,5.81,117.56,42.58,119.7,0.413,51.0,0
PLOT_191,Zone_A_North,Sugarcane,Maturation,29.26,68.78,36.11,6.93,103.8,50.78,182.34,0.394,81.5,0
PLOT_103,Zone_C_South,Soybean,Vegetative,23.76,62.8,52.38,7.08,131.88,44.06,204.03,,61.8,0
PLOT_234,Zone_C_South,Cotton,Flowering,36.88,46.76,46.5,5.82,112.49,34.71,98.37,0.555,63.8,0
PLOT_208,Zone_C_South,Soybean,Flowering,19.82,37.36,37.4,7.92,160.17,45.73,128.43,0.488,35.4,0
PLOT_147,Zone_A_North,Cotton,Vegetative,25.35,58.88,62.4,6.71,132.75,91.66,211.38,0.527,36.7,0
PLOT_172,Zone_C_South,Soybean,Flowering,21.57,70.91,56.27,7.89,137.4,62.86,171.52,0.312,42.6,1
PLOT_171,Zone_C_South,Cotton,Flowering,30.35,63.05,50.44,6.94,174.1,30.54,154.66,0.437,52.6,0
PLOT_215,Zone_B_West,Cotton,Vegetative,30.91,79.72,26.53,6.79,124.59,52.17,202.51,0.341,75.7,1
PLOT_180,Zone_B_West,Sugarcane,Vegetative,27.89,69.43,,7.59,121.89,9.41,214.97,0.351,46.9,0
PLOT_180,Zone_D_East,Cotton,Vegetative,22.19,55.43,54.39,7.03,141.59,37.65,161.8,0.499,33.9,0
PLOT_212,Zone_C_South,Sugarcane,Fruiting,23.65,80.1,57.63,5.81,126.63,41.44,162.81,0.518,54.8,0
PLOT_195,Zone_A_North,Cotton,Flowering,33.14,72.1,38.37,6.87,85.89,52.3,190.85,0.391,68.7,0
PLOT_171,Zone_D_East,Wheat,Vegetative,28.09,46.06,63.36,7.16,118.14,44.97,169.55,0.56,26.2,0
PLOT_246,Zone_D_East,Cotton,Flowering,26.14,53.09,61.54,6.27,101.76,39.23,76.6,0.433,41.3,0
PLOT_162,Zone_D_East,Sugarcane,Vegetative,24.88,59.11,68.35,7.82,139.11,46.58,190.96,0.412,59.8,0
PLOT_137,Zone_C_South,Wheat,Maturation,27.88,86.19,25.34,6.61,83.63,50.14,135.35,0.326,73.4,1
PLOT_166,Zone_D_East,Sugarcane,Vegetative,31.46,73.88,39.13,6.94,130.92,62.33,124.63,0.385,65.7,0
PLOT_168,Zone_A_North,Cotton,Maturation,27.23,52.63,25.16,6.73,45.08,50.26,131.84,0.27,47.1,1
PLOT_112,Zone_B_West,Cotton,Flowering,30.75,103.02,32.84,7.55,116.98,38.7,220.66,,92.1,1
PLOT_130,Zone_B_West,Cotton,Maturation,20.37,74.43,24.22,7.46,149.16,30.16,225.94,0.364,63.6,0
PLOT_213,Zone_C_South,Tomato,Vegetative,34.4,50.76,28.98,6.7,108.91,37.45,174.69,0.559,61.2,0
PLOT_121,Zone_A_North,Sugarcane,Vegetative,28.3,,54.7,6.13,149.0,25.97,159.33,0.33,55.0,0
PLOT_192,Zone_A_North,Cotton,Fruiting,23.4,58.79,38.46,,119.82,43.13,169.52,0.367,56.0,0
PLOT_166,Zone_A_North,Sugarcane,Vegetative,30.79,54.92,27.68,6.5,163.54,35.73,274.28,,51.7,0
PLOT_153,Zone_C_South,Soybean,Fruiting,29.44,80.64,,6.86,197.97,50.29,211.63,0.65,59.4,0
PLOT_237,Zone_A_North,Cotton,Vegetative,22.66,63.47,50.43,6.66,174.69,29.58,201.73,0.519,57.3,0
PLOT_141,Zone_B_West,Soybean,Fruiting,27.87,76.15,28.63,6.58,116.86,76.06,225.87,,69.8,1
PLOT_163,Zone_A_North,Wheat,Maturation,25.81,63.51,41.24,6.17,121.01,41.36,186.96,0.474,37.8,0
PLOT_225,Zone_A_North,Soybean,Maturation,21.91,60.69,47.86,5.59,92.54,75.8,180.33,0.476,45.8,0
PLOT_120,Zone_C_South,Sugarcane,Flowering,26.31,57.83,,6.71,155.27,30.75,194.65,0.498,44.8,0
PLOT_134,Zone_D_East,Wheat,Flowering,23.06,65.22,37.1,5.94,163.12,47.58,258.23,0.336,69.8,1
PLOT_129,Zone_D_East,Cotton,Maturation,22.14,55.65,35.91,6.81,102.28,37.04,196.31,0.252,47.6,0
PLOT_156,Zone_C_South,Tomato,Maturation,31.08,64.63,55.71,7.01,132.39,60.01,249.72,0.439,65.0,0
PLOT_146,Zone_C_South,Soybean,Vegetative,30.09,58.16,54.57,7.76,91.08,48.34,223.42,0.545,49.9,0
PLOT_118,Zone_C_South,Sugarcane,Flowering,27.16,48.87,29.82,6.37,64.5,23.9,178.9,0.203,50.1,1
PLOT_213,Zone_C_South,Wheat,Vegetative,16.84,60.7,18.95,5.7,168.59,51.35,251.95,0.429,49.0,0
PLOT_107,Zone_A_North,Cotton,Maturation,28.13,43.66,31.84,,75.85,55.53,200.01,0.385,48.2,0
PLOT_125,Zone_A_North,Cotton,Vegetative,32.45,81.27,63.89,6.87,159.66,32.19,219.62,0.487,59.2,0
PLOT_212,Zone_D_East,Wheat,Flowering,34.8,71.03,40.66,7.74,107.83,44.21,207.0,0.401,69.2,0
PLOT_170,Zone_C_South,Sugarcane,Fruiting,33.79,59.43,39.82,7.65,113.02,64.0,226.25,0.671,53.5,0
PLOT_129,Zone_C_South,Tomato,Maturation,22.31,43.77,52.32,6.61,134.9,38.57,192.42,0.372,47.3,0
PLOT_234,Zone_A_North,Sugarcane,Fruiting,24.46,,26.15,6.52,122.93,50.74,121.82,0.48,46.8,0
PLOT_166,Zone_C_South,Wheat,Vegetative,27.63,67.73,47.76,,138.98,17.7,175.1,0.495,50.3,0
PLOT_164,Zone_B_West,Sugarcane,Flowering,28.1,70.02,39.33,6.42,84.35,84.44,170.04,0.389,68.4,0
PLOT_135,Zone_A_North,Tomato,Maturation,28.66,55.72,37.31,7.14,118.51,48.04,131.31,0.351,71.0,0
PLOT_124,Zone_B_West,Soybean,Fruiting,34.32,67.52,31.52,7.79,124.79,30.79,199.98,0.488,71.3,1
PLOT_136,Zone_A_North,Sugarcane,Fruiting,29.52,87.93,63.22,7.28,115.99,34.5,199.96,0.633,63.1,0
PLOT_100,Zone_A_North,Tomato,Fruiting,34.81,58.76,47.34,6.26,108.09,6.75,161.54,0.489,47.1,0
PLOT_242,Zone_A_North,Soybean,Vegetative,24.48,77.42,52.34,5.65,155.75,52.32,104.5,0.534,60.5,0
PLOT_136,Zone_D_East,Wheat,Fruiting,26.47,64.83,39.83,6.96,128.42,59.31,199.95,0.374,40.6,0
PLOT_240,Zone_D_East,Cotton,Vegetative,26.29,63.3,58.1,6.46,102.38,87.94,92.44,0.343,45.6,0
PLOT_235,Zone_A_North,Tomato,Flowering,28.21,66.56,62.65,7.2,96.76,50.58,239.44,0.485,54.5,0
PLOT_232,Zone_A_North,Cotton,Maturation,21.45,,43.84,6.12,55.77,48.06,205.48,0.404,54.4,0
PLOT_227,Zone_A_North,Wheat,Vegetative,38.49,66.69,28.43,8.1,111.18,48.22,190.14,0.41,61.6,0
PLOT_226,Zone_A_North,Cotton,Flowering,29.0,76.59,54.34,6.42,121.1,33.21,149.69,0.492,63.6,0
PLOT_100,Zone_C_South,Sugarcane,Vegetative,22.55,75.83,21.17,8.03,68.5,40.19,239.61,0.39,62.9,0
PLOT_134,Zone_C_South,Tomato,Vegetative,22.85,78.79,37.84,7.33,130.41,38.01,146.81,0.498,57.7,0
PLOT_203,Zone_C_South,Cotton,Fruiting,28.92,57.52,47.86,7.22,98.4,31.48,210.55,0.444,67.3,1
PLOT_122,Zone_D_East,Sugarcane,Fruiting,31.58,,44.56,5.94,90.33,47.14,216.65,0.44,59.0,0
PLOT_108,Zone_B_West,Tomato,Vegetative,33.39,91.13,78.45,5.74,97.38,58.5,207.75,0.605,64.4,0
PLOT_133,Zone_A_North,Cotton,Flowering,28.75,53.32,51.51,6.64,108.29,20.11,217.02,0.492,34.3,0
PLOT_227,Zone_C_South,Wheat,Flowering,31.67,63.66,52.51,5.79,63.71,44.79,96.48,0.38,71.4,0
PLOT_103,Zone_C_South,Tomato,Vegetative,30.27,50.46,50.31,7.56,130.1,56.3,249.77,0.503,55.0,0
PLOT_201,Zone_C_South,Cotton,Fruiting,27.95,66.32,44.03,7.52,140.89,50.3,260.25,0.453,56.0,0
PLOT_174,Zone_A_North,Sugarcane,Flowering,26.73,77.5,52.11,7.09,135.82,52.14,200.92,0.522,65.7,0
PLOT_198,Zone_A_North,Sugarcane,Fruiting,28.64,85.59,46.33,6.29,90.44,54.33,132.29,0.579,57.7,0
PLOT_171,Zone_B_West,Wheat,Vegetative,27.9,53.02,34.96,7.52,106.24,51.76,139.08,0.422,66.8,0
PLOT_102,Zone_D_East,Tomato,Vegetative,28.47,,68.82,6.72,93.69,22.22,169.54,0.529,48.5,0
PLOT_241,Zone_B_West,Cotton,Vegetative,30.84,83.97,41.95,6.16,185.15,54.92,275.0,0.45,58.5,0
PLOT_133,Zone_A_North,Cotton,Vegetative,36.92,28.65,21.54,6.59,102.36,36.02,161.58,0.297,49.5,1
PLOT_144,Zone_B_West,Wheat,Maturation,23.28,57.33,,6.73,194.27,41.71,173.25,0.525,49.4,0
PLOT_160,Zone_C_South,Cotton,Vegetative,28.99,76.65,36.93,7.13,93.4,51.42,165.2,0.394,65.2,0
PLOT_182,Zone_B_West,Soybean,Vegetative,30.33,44.58,49.17,7.73,124.63,44.09,146.51,0.517,57.2,0
PLOT_222,Zone_C_South,Soybean,Maturation,26.57,52.41,50.04,5.42,121.83,29.44,217.57,0.466,54.1,0
